adm_no,status,marks,note,subject,subject_id
21ME00B1154,0,20,,ENGLISH,8
22ME00G1373,0,20,,ENGLISH,8
22ME00G1526,0,20,,ENGLISH,8
21ME00B1110,0,20,,ENGLISH,8
22ME00G1358,0,20,,ENGLISH,8
22ME00B1374,0,20,,ENGLISH,8
22ME00B1390,0,20,,ENGLISH,8
22ME00G1471,0,20,,ENGLISH,8
22ME00B1529,0,20,,ENGLISH,8
22ME00G1586,0,20,,ENGLISH,8
22ME00B1587,0,20,,ENGLISH,8
23ME00B1877,0,20,,ENGLISH,8
23ME00B1936,0,20,,ENGLISH,8
23ME00B1992,0,20,,ENGLISH,8
23ME00B1993,0,20,,ENGLISH,8
23ME00B2059,0,20,,ENGLISH,8
23ME00G2198,0,20,,ENGLISH,8
23ME00G2238,0,20,,ENGLISH,8
23ME00G2320,0,20,,ENGLISH,8
23ME00B1997,0,20,,ENGLISH,8
23ME00B2398,0,20,,ENGLISH,8
23ME00B2560,0,20,,ENGLISH,8
23ME00B2660,0,20,,ENGLISH,8
23ME00B2736,0,20,,ENGLISH,8
21ME00B1154,0,20,,"SOCIAL STUDIES",9
22ME00G1373,0,20,,"SOCIAL STUDIES",9
22ME00G1526,0,20,,"SOCIAL STUDIES",9
21ME00B1110,0,20,,"SOCIAL STUDIES",9
22ME00G1358,0,20,,"SOCIAL STUDIES",9
22ME00B1374,0,20,,"SOCIAL STUDIES",9
22ME00B1390,0,20,,"SOCIAL STUDIES",9
22ME00G1471,0,20,,"SOCIAL STUDIES",9
22ME00B1529,0,20,,"SOCIAL STUDIES",9
22ME00G1586,0,20,,"SOCIAL STUDIES",9
22ME00B1587,0,20,,"SOCIAL STUDIES",9
23ME00B1877,0,20,,"SOCIAL STUDIES",9
23ME00B1936,0,20,,"SOCIAL STUDIES",9
23ME00B1992,0,20,,"SOCIAL STUDIES",9
23ME00B1993,0,20,,"SOCIAL STUDIES",9
23ME00B2059,0,20,,"SOCIAL STUDIES",9
23ME00G2198,0,20,,"SOCIAL STUDIES",9
23ME00G2238,0,20,,"SOCIAL STUDIES",9
23ME00G2320,0,20,,"SOCIAL STUDIES",9
23ME00B1997,0,20,,"SOCIAL STUDIES",9
23ME00B2398,0,20,,"SOCIAL STUDIES",9
23ME00B2560,0,20,,"SOCIAL STUDIES",9
23ME00B2660,0,20,,"SOCIAL STUDIES",9
23ME00B2736,0,20,,"SOCIAL STUDIES",9
