adm_no,status,marks,note,subject,subject_id
22ME00B1379,0,20,,ENGLISH,8
22ME00G1527,0,20,,ENGLISH,8
22ME00B1727,0,20,,ENGLISH,8
21ME00G1130,0,20,,ENGLISH,8
22ME00B1311,0,20,,ENGLISH,8
22ME00G1310,0,20,,ENGLISH,8
22ME00G1387,0,20,,ENGLISH,8
22ME00B1395,0,20,,ENGLISH,8
22ME00B1578,0,20,,ENGLISH,8
22ME00G1758,0,20,,ENGLISH,8
23ME00B1814,0,20,,ENGLISH,8
23ME00B1908,0,20,,ENGLISH,8
23ME00B2205,0,20,,ENGLISH,8
23ME00B2226,0,20,,ENGLISH,8
23ME00B2239,0,20,,ENGLISH,8
23ME00G2319,0,20,,ENGLISH,8
23ME00B2467,0,20,,ENGLISH,8
23ME00B2167,0,20,,ENGLISH,8
23ME00B2601,0,20,,ENGLISH,8
23ME00B2607,0,20,,ENGLISH,8
23ME00B2640,0,20,,ENGLISH,8
23ME00B2322,0,20,,ENGLISH,8
23ME00G2498,0,20,,ENGLISH,8
23ME00G2699,0,20,,ENGLISH,8
22ME00B1379,0,20,,"SOCIAL STUDIES",9
22ME00G1527,0,20,,"SOCIAL STUDIES",9
22ME00B1727,0,20,,"SOCIAL STUDIES",9
21ME00G1130,0,20,,"SOCIAL STUDIES",9
22ME00B1311,0,20,,"SOCIAL STUDIES",9
22ME00G1310,0,20,,"SOCIAL STUDIES",9
22ME00G1387,0,20,,"SOCIAL STUDIES",9
22ME00B1395,0,20,,"SOCIAL STUDIES",9
22ME00B1578,0,20,,"SOCIAL STUDIES",9
22ME00G1758,0,20,,"SOCIAL STUDIES",9
23ME00B1814,0,20,,"SOCIAL STUDIES",9
23ME00B1908,0,20,,"SOCIAL STUDIES",9
23ME00B2205,0,20,,"SOCIAL STUDIES",9
23ME00B2226,0,20,,"SOCIAL STUDIES",9
23ME00B2239,0,20,,"SOCIAL STUDIES",9
23ME00G2319,0,20,,"SOCIAL STUDIES",9
23ME00B2467,0,20,,"SOCIAL STUDIES",9
23ME00B2167,0,20,,"SOCIAL STUDIES",9
23ME00B2601,0,20,,"SOCIAL STUDIES",9
23ME00B2607,0,20,,"SOCIAL STUDIES",9
23ME00B2640,0,20,,"SOCIAL STUDIES",9
23ME00B2322,0,20,,"SOCIAL STUDIES",9
23ME00G2498,0,20,,"SOCIAL STUDIES",9
23ME00G2699,0,20,,"SOCIAL STUDIES",9
